month,business_unit,target_volume,actual_volume,revenue,cost,data_quality_pct,variance,target_attainment_pct,profit
2025-01-01,Consumer,1225,1257,324700.67,204108.31,96.06,32,102.61,120592.36
2025-01-01,Commercial,889,947,414565.53,282925.89,97.79,58,106.52,131639.64
2025-01-01,Operations,849,943,503555.5,285573.03,98.37,94,111.07,217982.47
2025-01-01,Digital,949,943,440993.13,268661.15,95.97,-6,99.37,172331.98
2025-02-01,Consumer,878,806,349894.59,214647.03,97.85,-72,91.8,135247.56
2025-02-01,Commercial,938,809,318404.24,200586.34,95.13,-129,86.25,117817.9
2025-02-01,Operations,1038,1010,258582.69,173998.47,99.07,-28,97.3,84584.22
2025-02-01,Digital,1097,1170,360845.27,229207.74,99.49,73,106.65,131637.53
2025-03-01,Consumer,1197,1164,439361.41,282080.93,98.04,-33,97.24,157280.48
2025-03-01,Commercial,1081,1017,301669.91,167079.55,95.32,-64,94.08,134590.36
2025-03-01,Operations,1070,1081,281102.94,154003.15,97.18,11,101.03,127099.79
2025-03-01,Digital,1046,1068,303501.73,186985.98,96.87,22,102.1,116515.75
2025-04-01,Consumer,1227,1270,362833.9,223891.95,94.01,43,103.5,138941.95
2025-04-01,Commercial,1034,1102,333524.3,213489.16,96.9,68,106.58,120035.14
2025-04-01,Operations,951,1041,413888.72,298152.51,96.08,90,109.46,115736.21
2025-04-01,Digital,846,888,303437.81,176562.86,96.42,42,104.96,126874.95
2025-05-01,Consumer,895,992,490854.5,279911.18,94.93,97,110.84,210943.32
2025-05-01,Commercial,1187,1313,191787.19,124253.84,95.63,126,110.61,67533.35
2025-05-01,Operations,851,839,185714.57,136719.94,97.51,-12,98.59,48994.63
2025-05-01,Digital,1135,1121,391815.4,228248.78,99.16,-14,98.77,163566.62
2025-06-01,Consumer,951,864,539207.7,289581.76,97.71,-87,90.85,249625.94
2025-06-01,Commercial,1259,1298,424842.25,218290.84,95.35,39,103.1,206551.41
2025-06-01,Operations,1183,1267,252461.45,144257.06,96.34,84,107.1,108204.39
2025-06-01,Digital,1099,1164,230593.64,132188.58,98.97,65,105.91,98405.06
2025-07-01,Consumer,980,924,373680.2,238043.29,97.88,-56,94.29,135636.91
2025-07-01,Commercial,1114,995,233661.84,170398.51,94.49,-119,89.32,63263.33
2025-07-01,Operations,1263,1162,378680.4,212894.87,99.11,-101,92.0,165785.53
2025-07-01,Digital,1077,1025,275600.19,177362.21,94.68,-52,95.17,98237.98
2025-08-01,Consumer,1027,1102,351384.42,205140.87,99.56,75,107.3,146243.55
2025-08-01,Commercial,1131,1178,489961.11,254106.28,95.25,47,104.16,235854.83
2025-08-01,Operations,1028,1075,427353.52,271601.03,98.0,47,104.57,155752.49
2025-08-01,Digital,1125,1144,274276.49,193684.99,96.05,19,101.69,80591.5
2025-09-01,Consumer,986,903,223181.56,140454.84,94.59,-83,91.58,82726.72
2025-09-01,Commercial,1281,1190,443184.77,284602.1,97.4,-91,92.9,158582.67
2025-09-01,Operations,939,970,266422.07,142978.15,96.45,31,103.3,123443.92
2025-09-01,Digital,919,834,438661.97,256484.92,96.54,-85,90.75,182177.05
2025-10-01,Consumer,878,933,255966.97,185751.31,99.6,55,106.26,70215.66
2025-10-01,Commercial,920,798,234172.93,141684.43,95.21,-122,86.74,92488.5
2025-10-01,Operations,888,894,572718.12,292411.55,94.43,6,100.68,280306.57
2025-10-01,Digital,967,1046,282005.7,150208.26,95.72,79,108.17,131797.44
2025-11-01,Consumer,1037,1085,542581.75,273099.23,95.6,48,104.63,269482.52
2025-11-01,Commercial,1158,1185,354738.88,253066.94,97.85,27,102.33,101671.94
2025-11-01,Operations,1002,903,361242.16,218904.88,97.35,-99,90.12,142337.28
2025-11-01,Digital,960,985,406588.64,209760.4,95.03,25,102.6,196828.24
2025-12-01,Consumer,1226,1167,460120.33,259388.76,95.2,-59,95.19,200731.57
2025-12-01,Commercial,944,994,479091.91,258876.67,94.45,50,105.3,220215.24
2025-12-01,Operations,1003,1096,412888.76,278297.77,97.2,93,109.27,134590.99
2025-12-01,Digital,906,841,265811.02,194931.26,95.63,-65,92.83,70879.76
