month,region,product,units,revenue,cost,target_revenue,profit
2025-01-01,North,Core,445,24372.98,16859.27,25896.29,7513.71
2025-01-01,North,Plus,254,23238.25,15621.4,25082.26,7616.85
2025-01-01,North,Premium,418,52122.4,30969.02,57651.82,21153.38
2025-01-01,South,Core,425,24623.56,14987.94,23963.04,9635.62
2025-01-01,South,Plus,451,36018.52,24691.64,37820.03,11326.88
2025-01-01,South,Premium,404,49650.53,35457.41,54600.34,14193.12
2025-01-01,East,Core,383,20205.46,12392.9,18959.24,7812.56
2025-01-01,East,Plus,455,39930.29,26711.46,44475.43,13218.83
2025-01-01,East,Premium,376,46321.74,28437.43,44746.78,17884.31
2025-01-01,West,Core,410,22580.57,12766.64,23873.64,9813.93
2025-01-01,West,Plus,483,43308.99,28586.23,42847.73,14722.76
2025-01-01,West,Premium,363,47676.18,28486.31,46950.66,19189.87
2025-02-01,North,Core,494,25837.66,14468.62,24065.17,11369.04
2025-02-01,North,Plus,444,38861.92,25689.01,41906.31,13172.91
2025-02-01,North,Premium,380,48227.28,26426.59,45900.83,21800.69
2025-02-01,South,Core,346,19042.64,12054.89,20477.5,6987.75
2025-02-01,South,Plus,433,37284.82,23558.09,36828.1,13726.73
2025-02-01,South,Premium,390,48531.0,27318.92,48900.83,21212.08
2025-02-01,East,Core,311,16507.88,8776.59,16234.89,7731.29
2025-02-01,East,Plus,432,37795.44,23864.28,40779.04,13931.16
2025-02-01,East,Premium,473,58590.39,40005.76,56347.83,18584.63
2025-02-01,West,Core,389,20186.34,13413.26,20544.78,6773.08
2025-02-01,West,Plus,380,32466.56,17871.62,34489.25,14594.94
2025-02-01,West,Premium,476,58735.61,34084.42,61657.92,24651.19
2025-03-01,North,Core,276,14316.98,7782.73,15931.37,6534.25
2025-03-01,North,Plus,453,39850.98,22841.55,44399.71,17009.43
2025-03-01,North,Premium,389,50450.07,30768.1,49528.14,19681.97
2025-03-01,South,Core,339,19864.2,12140.11,19237.47,7724.09
2025-03-01,South,Plus,456,39414.38,21888.96,43070.33,17525.42
2025-03-01,South,Premium,426,55269.21,33516.28,57987.83,21752.93
2025-03-01,East,Core,556,31420.25,16869.18,31703.14,14551.07
2025-03-01,East,Plus,438,37382.59,21905.16,35792.32,15477.43
2025-03-01,East,Premium,544,69233.97,38363.83,76557.04,30870.14
2025-03-01,West,Core,386,20848.51,13305.17,19479.45,7543.34
2025-03-01,West,Plus,294,25048.61,16946.56,23688.94,8102.05
2025-03-01,West,Premium,589,73890.5,52282.35,76744.77,21608.15
2025-04-01,North,Core,238,12697.91,7444.96,13065.23,5252.95
2025-04-01,North,Plus,367,29112.48,19949.57,32031.6,9162.91
2025-04-01,North,Premium,406,51415.1,27852.34,54383.07,23562.76
2025-04-01,South,Core,415,23716.3,15978.37,22541.65,7737.93
2025-04-01,South,Plus,377,30908.43,16303.66,32003.27,14604.77
2025-04-01,South,Premium,600,79085.13,53908.4,78314.56,25176.73
2025-04-01,East,Core,499,26721.49,16647.79,26150.54,10073.7
2025-04-01,East,Plus,364,29538.14,15625.15,29912.34,13912.99
2025-04-01,East,Premium,311,41353.34,27695.23,45457.68,13658.11
2025-04-01,West,Core,409,22671.11,13221.47,24409.58,9449.64
2025-04-01,West,Plus,385,32268.44,17389.25,34588.22,14879.19
2025-04-01,West,Premium,435,58209.63,33074.37,55492.64,25135.26
2025-05-01,North,Core,566,29666.66,16490.32,30968.51,13176.34
2025-05-01,North,Plus,325,26977.15,18222.55,30070.0,8754.6
2025-05-01,North,Premium,419,49839.24,26055.32,48525.21,23783.92
2025-05-01,South,Core,427,24228.27,13189.06,24863.12,11039.21
2025-05-01,South,Plus,348,30087.81,16847.82,32578.59,13239.99
2025-05-01,South,Premium,497,64662.66,35319.49,61656.7,29343.17
2025-05-01,East,Core,461,25092.24,14558.26,25665.12,10533.98
2025-05-01,East,Plus,465,42423.9,24490.86,46908.68,17933.04
2025-05-01,East,Premium,400,50663.99,32769.22,48136.9,17894.77
2025-05-01,West,Core,427,23317.48,16631.11,24325.92,6686.37
2025-05-01,West,Plus,347,30989.04,19011.04,33440.43,11978.0
2025-05-01,West,Premium,446,52760.22,36187.48,57054.65,16572.74
2025-06-01,North,Core,237,13160.34,8438.45,14408.87,4721.89
2025-06-01,North,Plus,607,51176.34,30441.57,51735.06,20734.77
2025-06-01,North,Premium,411,54463.85,33265.4,53216.06,21198.45
2025-06-01,South,Core,310,17764.43,12138.68,16876.26,5625.75
2025-06-01,South,Plus,320,27721.29,15225.49,30124.34,12495.8
2025-06-01,South,Premium,336,39966.39,28144.1,38425.73,11822.29
2025-06-01,East,Core,388,20337.92,11045.48,18995.99,9292.44
2025-06-01,East,Plus,397,32266.84,17123.25,33632.29,15143.59
2025-06-01,East,Premium,506,62557.07,36508.19,64174.79,26048.88
2025-06-01,West,Core,420,24432.17,12917.17,23564.45,11515.0
2025-06-01,West,Plus,659,54189.37,34369.42,54681.94,19819.95
2025-06-01,West,Premium,355,43755.62,27336.35,41537.98,16419.27
2025-07-01,North,Core,521,26872.5,18944.26,25497.47,7928.24
2025-07-01,North,Plus,498,45098.3,32286.51,48813.72,12811.79
2025-07-01,North,Premium,442,56707.08,38322.6,54187.3,18384.48
2025-07-01,South,Core,398,22046.15,15245.23,22441.48,6800.92
2025-07-01,South,Plus,399,34794.57,19947.47,33282.95,14847.1
2025-07-01,South,Premium,270,33498.0,18977.09,33492.21,14520.91
2025-07-01,East,Core,493,26548.96,15820.33,28149.63,10728.63
2025-07-01,East,Plus,391,35638.84,25063.71,36400.55,10575.13
2025-07-01,East,Premium,520,65670.49,45293.73,69216.14,20376.76
2025-07-01,West,Core,490,27217.03,17598.08,26801.96,9618.95
2025-07-01,West,Plus,504,41141.85,27110.82,44990.12,14031.03
2025-07-01,West,Premium,425,54302.09,29269.87,57988.44,25032.22
2025-08-01,North,Core,482,28376.06,15535.37,31559.49,12840.69
2025-08-01,North,Plus,375,32482.29,21975.08,35115.69,10507.21
2025-08-01,North,Premium,333,40293.31,25707.74,38200.45,14585.57
